"trial_type","trial_index","time_elapsed","internal_node_id","PUNS_ID","session_number","session_phase","session_day","session_slot","ema_start_date","ema_post_start_date","experiment_start","browser","screen_width","screen_height","timezone_offset","view_history","rt","stimulus","response","which_experiment_phase","trial_number","left_word","right_word","valence","left_base_rating","right_base_rating","left_valence","right_valence","abs_diff","participant_response","chosen_side","valid_response"
"pavlovia","0","1804","0.0-0.0","1024","46","post","6","morning","2026-02-18","2026-03-02","2026-03-07T14:35:10.158Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","","","","","","","","","","","","","","","",""
"instructions","1","6502","0.0-1.0","1024","46","post","6","morning","2026-02-18","2026-03-02","2026-03-07T14:35:10.158Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","[{""page_index"":0,""viewing_time"":1281},{""page_index"":1,""viewing_time"":920},{""page_index"":2,""viewing_time"":1697},{""page_index"":3,""viewing_time"":798}]","4697","","","","","","","","","","","","","","",""
"html-keyboard-response","2","7305","0.0-2.0-0.0","1024","46","post","6","morning","2026-02-18","2026-03-02","2026-03-07T14:35:10.158Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","3","9449","0.0-2.0-1.0","1024","46","post","6","morning","2026-02-18","2026-03-02","2026-03-07T14:35:10.158Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","2138","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","1","hopeless","malicious","NegNeg","97","1","negative","negative","96","hopeless","left","true"
"html-keyboard-response","4","10251","0.0-2.0-0.1","1024","46","post","6","morning","2026-02-18","2026-03-02","2026-03-07T14:35:10.158Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","5","12376","0.0-2.0-1.1","1024","46","post","6","morning","2026-02-18","2026-03-02","2026-03-07T14:35:10.158Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","2123","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","2","expert","asset","PosPos","100","92","positive","positive","8","asset","right","true"
"html-keyboard-response","6","13178","0.0-2.0-0.2","1024","46","post","6","morning","2026-02-18","2026-03-02","2026-03-07T14:35:10.158Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","7","14473","0.0-2.0-1.2","1024","46","post","6","morning","2026-02-18","2026-03-02","2026-03-07T14:35:10.158Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","1293","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","3","fool","vengeful","NegNeg","56","0","negative","negative","56","fool","left","true"
"html-keyboard-response","8","15275","0.0-2.0-0.3","1024","46","post","6","morning","2026-02-18","2026-03-02","2026-03-07T14:35:10.158Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","9","17069","0.0-2.0-1.3","1024","46","post","6","morning","2026-02-18","2026-03-02","2026-03-07T14:35:10.158Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","1792","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","4","liar","uninvited","NegNeg","0","9","negative","negative","9","uninvited","right","true"
"html-keyboard-response","10","17871","0.0-2.0-0.4","1024","46","post","6","morning","2026-02-18","2026-03-02","2026-03-07T14:35:10.158Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","11","19598","0.0-2.0-1.4","1024","46","post","6","morning","2026-02-18","2026-03-02","2026-03-07T14:35:10.158Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","361","628","480","","1726","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","5","degenerate","hopeless","NegNeg","0","97","negative","negative","97","hopeless","right","true"
