"trial_type","trial_index","time_elapsed","internal_node_id","PUNS_ID","session_number","session_phase","session_day","session_slot","ema_start_date","ema_post_start_date","experiment_start","browser","screen_width","screen_height","timezone_offset","view_history","rt","stimulus","response","which_experiment_phase","trial_number","left_word","right_word","valence","left_base_rating","right_base_rating","left_valence","right_valence","abs_diff","participant_response","chosen_side","valid_response"
"pavlovia","0","1909","0.0-0.0","1013","17","pre","6","afternoon","2026-02-05","2026-02-17","2026-02-11T00:34:32.258Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","480","","","","","","","","","","","","","","","","",""
"instructions","1","9280","0.0-1.0","1013","17","pre","6","afternoon","2026-02-05","2026-02-17","2026-02-11T00:34:32.258Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","480","[{""page_index"":0,""viewing_time"":1328},{""page_index"":1,""viewing_time"":2405},{""page_index"":2,""viewing_time"":1931},{""page_index"":3,""viewing_time"":1702}]","7367","","","","","","","","","","","","","","",""
"html-keyboard-response","2","10084","0.0-2.0-0.0","1013","17","pre","6","afternoon","2026-02-05","2026-02-17","2026-02-11T00:34:32.258Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","480","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","3","12267","0.0-2.0-1.0","1013","17","pre","6","afternoon","2026-02-05","2026-02-17","2026-02-11T00:34:32.258Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","480","","2178","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","1","hateful","distressed","NegNeg","4","62","negative","negative","58","distressed","right","true"
"html-keyboard-response","4","13070","0.0-2.0-0.1","1013","17","pre","6","afternoon","2026-02-05","2026-02-17","2026-02-11T00:34:32.258Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","480","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","5","15870","0.0-2.0-1.1","1013","17","pre","6","afternoon","2026-02-05","2026-02-17","2026-02-11T00:34:32.258Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","480","","2796","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","2","menace","hopeless","NegNeg","1","7","negative","negative","6","hopeless","right","true"
"html-keyboard-response","6","16672","0.0-2.0-0.2","1013","17","pre","6","afternoon","2026-02-05","2026-02-17","2026-02-11T00:34:32.258Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","480","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","7","18505","0.0-2.0-1.2","1013","17","pre","6","afternoon","2026-02-05","2026-02-17","2026-02-11T00:34:32.258Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","480","","1830","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","1","pairing","3","sloppy","humorous","PosNeg","7","75","negative","positive","68","humorous","right","true"
"html-keyboard-response","8","19309","0.0-2.0-0.3","1013","17","pre","6","afternoon","2026-02-05","2026-02-17","2026-02-11T00:34:32.258Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","480","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","",""
"html-button-response","9","23359","0.0-2.0-1.3","1013","17","pre","6","afternoon","2026-02-05","2026-02-17","2026-02-11T00:34:32.258Z","Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","358","632","480","","4047","<div class=""prompt"" style=""font-size:24px; margin-bottom:20px;"">Which word describes you more?</div>","0","pairing","4","adorable","bitter","PosNeg","4","85","positive","negative","81","adorable","left","true"
